z_bin_lo	z_bin_hi	count
0	0.0333333	3289
0.0333333	0.0666667	11182
0.0666667	0.1	21816
0.1	0.133333	26532
0.133333	0.166667	31545
0.166667	0.2	38187
0.2	0.233333	34032
0.233333	0.266667	32343
0.266667	0.3	33448
0.3	0.333333	26853
0.333333	0.366667	24932
0.366667	0.4	19389
0.4	0.433333	16069
0.433333	0.466667	13397
0.466667	0.5	10882
0.5	0.533333	9069
0.533333	0.566667	7515
0.566667	0.6	6680
0.6	0.633333	5890
0.633333	0.666667	4887
0.666667	0.7	4875
0.7	0.733333	4663
0.733333	0.766667	3764
0.766667	0.8	3958
0.8	0.833333	3882
0.833333	0.866667	3069
0.866667	0.9	3397
0.9	0.933333	3091
0.933333	0.966667	2558
0.966667	1	2663
