z_bin_lo	z_bin_hi	count
0	0.0333333	82
0.0333333	0.0666667	349
0.0666667	0.1	727
0.1	0.133333	964
0.133333	0.166667	1573
0.166667	0.2	2102
0.2	0.233333	2588
0.233333	0.266667	2628
0.266667	0.3	3338
0.3	0.333333	3681
0.333333	0.366667	3532
0.366667	0.4	4266
0.4	0.433333	4346
0.433333	0.466667	3825
0.466667	0.5	4633
0.5	0.533333	4643
0.533333	0.566667	4124
0.566667	0.6	4636
0.6	0.633333	4660
0.633333	0.666667	3939
0.666667	0.7	4383
0.7	0.733333	4364
0.733333	0.766667	3543
0.766667	0.8	3872
0.8	0.833333	3882
0.833333	0.866667	3069
0.866667	0.9	3397
0.9	0.933333	3091
0.933333	0.966667	2558
0.966667	1	2663
