z_bin_lo	z_bin_hi	count
0	0.0333333	3207
0.0333333	0.0666667	10833
0.0666667	0.1	21089
0.1	0.133333	25568
0.133333	0.166667	29972
0.166667	0.2	36085
0.2	0.233333	31444
0.233333	0.266667	29715
0.266667	0.3	30110
0.3	0.333333	23172
0.333333	0.366667	21400
0.366667	0.4	15123
0.4	0.433333	11723
0.433333	0.466667	9572
0.466667	0.5	6249
0.5	0.533333	4426
0.533333	0.566667	3391
0.566667	0.6	2044
0.6	0.633333	1230
0.633333	0.666667	948
0.666667	0.7	492
0.7	0.733333	299
0.733333	0.766667	221
0.766667	0.8	86
0.8	0.833333	0
0.833333	0.866667	0
0.866667	0.9	0
0.9	0.933333	0
0.933333	0.966667	0
0.966667	1	0
