z_bin_lo	z_bin_hi	count
0	0.0333333	13
0.0333333	0.0666667	21
0.0666667	0.1	31
0.1	0.133333	32
0.133333	0.166667	21
0.166667	0.2	12
0.2	0.233333	5
0.233333	0.266667	4
0.266667	0.3	2
0.3	0.333333	1
0.333333	0.366667	2
0.366667	0.4	0
0.4	0.433333	0
0.433333	0.466667	0
0.466667	0.5	0
0.5	0.533333	0
0.533333	0.566667	0
0.566667	0.6	0
0.6	0.633333	0
0.633333	0.666667	0
0.666667	0.7	0
0.7	0.733333	0
0.733333	0.766667	0
0.766667	0.8	0
0.8	0.833333	0
0.833333	0.866667	0
0.866667	0.9	0
0.9	0.933333	0
0.933333	0.966667	0
0.966667	1	0
