B	alpha
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
10.0981	1.12725
