bin_center	count_SKA_deep	count_SKA_wide	count_combined
-0.14625	0	0	0
-0.13875	0	0	0
-0.13125	0	0	0
-0.12375	0	0	0
-0.11625	0	0	0
-0.10875	0	0	0
-0.10125	0	0	0
-0.09375	0	0	0
-0.08625	0	0	0
-0.07875	0	0	0
-0.07125	0	43	0
-0.06375	0	9	0
-0.05625	0	110	0
-0.04875	0	102	0
-0.04125	0	114	0
-0.03375	0	92	0
-0.02625	0	291	0
-0.01875	0	894	0
-0.01125	714	2226	0
-0.00375	2047	119	4455
0.00375	1138	0	1545
0.01125	101	0	0
0.01875	0	0	0
0.02625	0	0	0
0.03375	0	0	0
0.04125	0	0	0
0.04875	0	0	0
0.05625	0	0	0
0.06375	0	0	0
0.07125	0	0	0
0.07875	0	0	0
0.08625	0	0	0
0.09375	0	0	0
0.10125	0	0	0
0.10875	0	0	0
0.11625	0	0	0
0.12375	0	0	0
0.13125	0	0	0
0.13875	0	0	0
0.14625	0	0	0
