tau	bias_approx
0	0
0.004	0.00379823
0.008	0.00759647
0.012	0.0113947
0.016	0.0151929
0.02	0.0189912
0.024	0.0227894
0.028	0.0265876
0.032	0.0303859
0.036	0.0341841
0.04	0.0379823
0.044	0.0417806
0.048	0.0455788
0.052	0.049377
0.056	0.0531753
0.06	0.0569735
0.064	0.0607717
0.068	0.06457
0.072	0.0683682
0.076	0.0721664
0.08	0.0759647
0.084	0.0797629
0.088	0.0835611
0.092	0.0873594
0.096	0.0911576
0.1	0.0949558
0.104	0.0987541
0.108	0.102552
0.112	0.106351
0.116	0.110149
0.12	0.113947
0.124	0.117745
0.128	0.121543
0.132	0.125342
0.136	0.12914
0.14	0.132938
0.144	0.136736
0.148	0.140535
0.152	0.144333
0.156	0.148131
0.16	0.151929
0.164	0.155728
0.168	0.159526
0.172	0.163324
0.176	0.167122
0.18	0.170921
0.184	0.174719
0.188	0.178517
0.192	0.182315
0.196	0.186113
0.2	0.189912
# simulated_dust_bias	-0.0929011
